#,Ime igrača,Broj golova,Klub
1.,Marko Livaja,10,Hajduk
2.,Sandro Kulenović,8,Dinamo
3.,Robert Mudražija,7,Lokomotva
4.,Duje Čop,6,Lokomotiva
5.,Arnel Jakupović,6,Osijek
6.,Alen Grgić,5,Slaven Belupo
7.,Toni Fruk,4,Rijeka
8.,Marko Pjaca,4,Dinamo
9.,Marko Soldo,4,Osijek
10.,Michele Šego,4,Varaždin
11.,Leon Belcar,3,Varaždin
12.,Bruno Durdov,3,Hajduk
13.,Franjo Ivanović,3,Rijeka
14.,Niko Janković,3,Rijeka
15.,Anthony Kalik,3,Hajduk
16.,Marko Kolar,3,Gorica
17.,Lovre Kulušić,3,Šibenik
18.,Beyatt Lekoueiry,3,Istra 1961
19.,Mateo Lisica,3,Istra 1961
20.,Luka Mamić,3,Varaždin
21.,Dimitar Mitrovski,3,Varaždin
22.,Marco Pašalić,3,Rijeka
23.,Bruno Petković,3,Dinamo
24.,Jurica Pršir,3,Gorica
25.,Niko Kristian Sigur,3,Hajduk
